"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"May","PER","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",2,0
"May","SVK","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",2,0
"May","TWN","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",2,0
"April","BGD","Portuguese bookings have decreased drastically.",1,0
"April","BHS","Portuguese bookings have decreased drastically.",0,1
"April","BIH","Portuguese bookings have decreased drastically.",1,0
"April","CHL","Portuguese bookings have decreased drastically.",1,0
"April","CIV","Portuguese bookings have decreased drastically.",1,0
"April","COL","Portuguese bookings have decreased drastically.",0,1
"April","CPV","Portuguese bookings have decreased drastically.",0,1
"April","DOM","Portuguese bookings have decreased drastically.",1,0
"April","IRN","Portuguese bookings have decreased drastically.",0,1
"April","KAZ","Portuguese bookings have decreased drastically.",0,1
"April","KWT","Portuguese bookings have decreased drastically.",1,0
"April","LBN","Portuguese bookings have decreased drastically.",1,0
"April","LKA","Portuguese bookings have decreased drastically.",1,0
"April","MEX","Portuguese bookings have decreased drastically.",1,0
"April","MLT","Portuguese bookings have decreased drastically.",1,0
"April","MRT","Portuguese bookings have decreased drastically.",1,0
"April","NGA","Portuguese bookings have decreased drastically.",0,1
"April","NPL","Portuguese bookings have decreased drastically.",0,1
"April","OMN","Portuguese bookings have decreased drastically.",1,0
"April","PRY","Portuguese bookings have decreased drastically.",1,0
"April","SGP","Portuguese bookings have decreased drastically.",1,0
"April","SUR","Portuguese bookings have decreased drastically.",1,0
"April","SVK","Portuguese bookings have decreased drastically.",1,0
"April","SYR","Portuguese bookings have decreased drastically.",1,0
"April","TWN","Portuguese bookings have decreased drastically.",1,0
"April","UKR","Portuguese bookings have decreased drastically.",1,0
"August","AGO","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",1,0
